   -0.189879448413848877E+02    0.395252516672997235-321
   -0.181454687118530273E+02    0.395252516672997235-321
   -0.150156791210174561E+02    0.395252516672997235-321
   -0.161588741540908813E+02    0.395252516672997235-321
   -0.205885677337646484E+02    0.395252516672997235-321
   -0.175490119457244873E+02    0.395252516672997235-321
   -0.155423548221588135E+02    0.395252516672997235-321
   -0.191922175884246826E+02    0.395252516672997235-321
   -0.179595154523849487E+02    0.395252516672997235-321
   -0.174760122299194336E+02    0.395252516672997235-321
   -0.209701473712921143E+02    0.395252516672997235-321
   -0.164603927135467529E+02    0.395252516672997235-321
   -0.187393140792846680E+02    0.395252516672997235-321
   -0.206124665737152100E+02    0.395252516672997235-321
   -0.207647548913955688E+02    0.395252516672997235-321
   -0.155305491685867310E+02    0.395252516672997235-321
   -0.197603727579116821E+02    0.395252516672997235-321
   -0.201888055801391602E+02    0.395252516672997235-321
   -0.204421101808547974E+02    0.395252516672997235-321
   -0.156186786890029907E+02    0.395252516672997235-321
   -0.179110883474349976E+02    0.395252516672997235-321
   -0.151116875410079956E+02    0.395252516672997235-321
   -0.160953902006149292E+02    0.395252516672997235-321
   -0.203721256256103516E+02    0.395252516672997235-321
   -0.177744823694229126E+02    0.395252516672997235-321
   -0.174340374469757080E+02    0.395252516672997235-321
   -0.187499742507934570E+02    0.395252516672997235-321
   -0.152145012617111206E+02    0.395252516672997235-321
   -0.162986540794372559E+02    0.395252516672997235-321
   -0.203283401727676392E+02    0.395252516672997235-321
   -0.187973299026489258E+02    0.395252516672997235-321
   -0.171619874238967896E+02    0.395252516672997235-321
   -0.184967901706695557E+02    0.395252516672997235-321
   -0.154315999746322632E+02    0.395252516672997235-321
   -0.204946339130401611E+02    0.395252516672997235-321
   -0.208574008941650391E+02    0.395252516672997235-321
   -0.157995704412460327E+02    0.395252516672997235-321
   -0.166432074308395386E+02    0.395252516672997235-321
   -0.201450455188751221E+02    0.395252516672997235-321
   -0.163675317764282227E+02    0.395252516672997235-321
   -0.150466879606246948E+02    0.395252516672997235-321
   -0.206121397018432617E+02    0.395252516672997235-321
   -0.150024898052215576E+02    0.395252516672997235-321
   -0.199980139732360840E+02    0.395252516672997235-321
   -0.209649878740310669E+02    0.395252516672997235-321
   -0.205938824415206909E+02    0.395252516672997235-321
   -0.161103465557098389E+02    0.395252516672997235-321
   -0.174946907758712769E+02    0.395252516672997235-321
   -0.209068465232849121E+02    0.395252516672997235-321
   -0.191400915384292603E+02    0.395252516672997235-321
   -0.190446181297302246E+02    0.395252516672997235-321
   -0.196449780464172363E+02    0.395252516672997235-321
   -0.198592661619186401E+02    0.395252516672997235-321
   -0.152240234613418579E+02    0.395252516672997235-321
   -0.189041354656219482E+02    0.395252516672997235-321
   -0.164538005590438843E+02    0.395252516672997235-321
   -0.185133261680603027E+02    0.395252516672997235-321
   -0.168956025838851929E+02    0.395252516672997235-321
   -0.174435331821441650E+02    0.395252516672997235-321
